Region,BGC,SS_NoSpace,Standard,PreferredAcceptable,Suitability,Species,CC 203/204,FN1,FN2,FN3,FN4,FN5,Flag,Note
Kamloops,IDFww,IDFww/04,82152,X,3,Lw,203,16,23,,,,0,
Vancouver,IDFww,IDFww/04,84207,X,3,Lw,203,16,23,,,,0,
Kamloops,IDFxh2,IDFxh2/08,82172,A,2,Pl,203,1,23,,,,0,
LMH71_Nelson,IDFxk,IDFxk/101,1062379,P,3,Py,203,203,,,,,0,
LMH71_Nelson,IDFxk,IDFxk/103,1062381,P,3,Py,203,203,,,,,0,
LMH71_Nelson,IDFxk,IDFxk/110,1062382,A,3,Py,203,203,,,,,0,
Vancouver,MHmm1,MHmm1/01,84211,X,3,Bp,203,23,13,47,,,0,
Vancouver,MHmm1,MHmm1/01,84211,A,3,Sx,203,23,,,,,0,
Vancouver,MHmm1,MHmm1/01,84211CC,A,3,Bp,203,23,13,47,,,0,
Vancouver,MHmm1,MHmm1/01,84211CC,A,3,Sx,203,23,,,,,0,
Vancouver,MHmm1,MHmm1/02,84212,A,2,Sx,203,23,,,,,0,
Vancouver,MHmm1,MHmm1/03,84213,X,3,Bp,203,23,47,,,,0,
Vancouver,MHmm1,MHmm1/03,84213,X,3,Sx,203,23,,,,,0,
Vancouver,MHmm2,MHmm2/01,84220,X,3,Bp,203,23,47,,,,0,
Vancouver,MHmm2,MHmm2/01,84220CC,X,3,Bp,203,13,23,47,,,0,
Vancouver,MHmm2,MHmm2/03,84222,X,3,Bp,203,23,47,,,,0,
Vancouver,MHmm2,MHmm2/05,84224,X,3,Bp,203,23,47,,,,0,
LMH71_Nelson,MSdk,MSdk/101,1062251,P,2,Lw,203,16,32,203,,,0,
LMH71_Nelson,MSdk,MSdk/103,1062253,P,3,Py,203,14,203,,,,0,
LMH71_Nelson,MSdk,MSdk/105,1062256,P,2,Lw,203,16,203,,,,0,
Kamloops,MSdm2,MSdm2/01,82192,X,3,Lw,203,14,23,32,,,0,
Kamloops,MSdm2,MSdm2/01,82192CC,A,3,Lw,203,23,32,,,,0,
Kamloops,MSdm2,MSdm2/04,82194,X,3,Lw,203,14,23,32,,,0,
Kamloops,MSdm2,MSdm2/05,82195,X,3,Lw,203,14,23,32,,,0,
Kamloops,MSdm2,MSdm2/06,82196,X,3,Lw,203,14,23,32,,,0,
LMH71_Nelson,MSdw,MSdw/102,1062365,P,3,Py,203,9,14,203,,,0,
LMH71_Nelson,MSdw,MSdw/103,1062263,P,3,Py,203,14,203,,,,0,
Kamloops,MSxk,MSxk/06,82201,X,3,Lw,203,9,14,23,,,0,
Nelson,PPdh2,PPdh2/01,83128,X,3,Lw,203,10,23,32,,,0,
Nelson,PPdh2,PPdh2/01,83128,A,3,Pl,203,23,,,,,0,
Nelson,PPdh2,PPdh2/03,83129,X,3,Lw,203,23,32,,,,0,
Nelson,PPdh2,PPdh2/03,83129,A,3,Pl,203,23,,,,,0,
Kamloops,PPxh1,PPxh1/08,82211,X,3,Pl,203,1,12,23,,,0,
Kamloops,PPxh2,PPxh2/07,82217,P,1,Pl,203,1,23,,,,0,
Pr George,SBSdh,SBSdh/03,81164,P,1,Lw,203,23,,,,,0,
Kamloops,SBSmm,SBSmm/01,82218,X,3,Lw,203,14,23,32,,,0,
Kamloops,SBSmm,SBSmm/05,82222,X,3,Lw,203,14,23,32,,,0,
Kamloops,SBSmm,SBSmm/06,82223,X,3,Lw,203,14,23,32,,,0,
