Region,BGC,SS_NoSpace,Standard,PreferredAcceptable,Suitability,Species,FN1,FN2,FN3,FN4,FN5,Flag,Note
Kamloops,BGxh1,BGxh1/04,999,A,2,Fd,27,,,,,0,
Kamloops,BGxh1,BGxh1/04,999,X,1,Py,27,,,,,0,
Kamloops,BGxh1,BGxh1/05,999,X,3,At,901,,,,,0,
Kamloops,BGxh1,BGxh1/05,999,A,2,Fd,27,,,,,0,
Kamloops,BGxh1,BGxh1/05,999,X,1,Py,27,,,,,0,
Kamloops,BGxh1,BGxh1/06,999,X,3,Act,900,,,,,0,
Kamloops,BGxh1,BGxh1/06,999,X,3,At,900,,,,,0,
Kamloops,BGxh1,BGxh1/06,999,X,3,Ep,901,,,,,0,
Kamloops,BGxh1,BGxh1/06,999,A,1,Fd,,,,,,0,
Kamloops,BGxh1,BGxh1/06,999,X,1,Py,,,,,,0,
Kamloops,BGxh1,BGxh1/07,999,X,3,Act,900,,,,,0,
Kamloops,BGxh1,BGxh1/07,999,X,3,At,900,,,,,0,
Kamloops,BGxh1,BGxh1/07,999,X,3,Ep,901,,,,,0,
Kamloops,BGxh1,BGxh1/07,999,A,2,Fd,1,,,,,0,
Kamloops,BGxh1,BGxh1/07,999,X,2,Py,1,,,,,0,
Kamloops,BGxh1,BGxh1/07,999,A,1,Sx,1,,,,,0,
Kamloops,BGxh2,BGxh2/03,999,X,2,Py,27,,,,,0,
Kamloops,BGxh2,BGxh2/04,999,A,3,Fd,27,,,,,0,
Kamloops,BGxh2,BGxh2/04,999,X,2,Py,27,,,,,0,
Kamloops,BGxh2,BGxh2/07,999,X,3,Act,900,,,,,0,
Kamloops,BGxh2,BGxh2/07,999,X,3,At,900,,,,,0,
Kamloops,BGxh2,BGxh2/07,999,X,3,Ep,901,,,,,0,
Kamloops,BGxh2,BGxh2/07,999,A,2,Fd,1,,,,,0,
Kamloops,BGxh2,BGxh2/07,999,X,2,Py,1,,,,,0,
Kamloops,BGxh2,BGxh2/07,999,A,3,Sx,1,,,,,0,
Kamloops,BGxw1,BGxw1/03,999,A,3,Fd,27,,,,,0,
Kamloops,BGxw1,BGxw1/03,999,X,2,Py,27,,,,,0,
Kamloops,BGxw1,BGxw1/05,999,A,3,Fd,27,,,,,0,
Kamloops,BGxw1,BGxw1/05,999,X,2,Py,27,,,,,0,
Kamloops,BGxw1,BGxw1/08,999,X,3,At,900,,,,,0,
Kamloops,BGxw1,BGxw1/08,999,A,3,Fd,32,,,,,0,
BWBS2012,BWBSdk,BWBSdk/101,1043873,X,3,Acb,901,,,,,0,
BWBS2012,BWBSdk,BWBSdk/101,1043873,X,3,At,901,,,,,0,
BWBS2012,BWBSdk,BWBSdk/101,1043873,A,2,Bl,,,,,,0,
BWBS2012,BWBSdk,BWBSdk/101,1043873,X,3,Ep,901,,,,,0,
BWBS2012,BWBSdk,BWBSdk/101,1043873,P,1,Pl,,,,,,0,
BWBS2012,BWBSdk,BWBSdk/101,1043873,X,3,Sb,,,,,,0,
BWBS2012,BWBSdk,BWBSdk/101,1043873,P,1,Sw,32,,,,,0,
BWBS2012,BWBSdk,BWBSdk/102,1043874,X,3,At,901,,,,,0,
BWBS2012,BWBSdk,BWBSdk/102,1043874,X,3,Bl,53,,,,,0,
BWBS2012,BWBSdk,BWBSdk/102,1043874,P,1,Pl,,,,,,0,
BWBS2012,BWBSdk,BWBSdk/102,1043874,A,3,Sb,,,,,,0,
BWBS2012,BWBSdk,BWBSdk/102,1043874,A,3,Sw,,,,,,0,
BWBS2012,BWBSdk,BWBSdk/103,1043875,X,3,At,901,,,,,0,
BWBS2012,BWBSdk,BWBSdk/103,1043875,A,2,Bl,,,,,,0,
BWBS2012,BWBSdk,BWBSdk/103,1043875,X,3,Ep,901,,,,,0,
BWBS2012,BWBSdk,BWBSdk/103,1043875,P,1,Pl,,,,,,0,
BWBS2012,BWBSdk,BWBSdk/103,1043875,X,3,Sb,,,,,,0,
BWBS2012,BWBSdk,BWBSdk/103,1043875,P,1,Sw,,,,,,0,
BWBS2012,BWBSdk,BWBSdk/104,1043876,X,3,At,901,,,,,0,
BWBS2012,BWBSdk,BWBSdk/104,1043876,X,3,Bl,53,,,,,0,
BWBS2012,BWBSdk,BWBSdk/104,1043876,P,1,Pl,1,,,,,0,
BWBS2012,BWBSdk,BWBSdk/104,1043876,P,1,Sb,1,,,,,0,
BWBS2012,BWBSdk,BWBSdk/104,1043876,P,1,Sw,1,32,,,,0,
BWBS2012,BWBSdk,BWBSdk/110,1043877,X,1,Acb,901,900,,,,0,
BWBS2012,BWBSdk,BWBSdk/110,1043877,X,3,At,901,,,,,0,
BWBS2012,BWBSdk,BWBSdk/110,1043877,X,3,Bl,53,,,,,0,
BWBS2012,BWBSdk,BWBSdk/110,1043877,X,3,Ep,901,,,,,0,
BWBS2012,BWBSdk,BWBSdk/110,1043877,P,2,Pl,1,,,,,0,
BWBS2012,BWBSdk,BWBSdk/110,1043877,A,3,Sb,,,,,,0,
BWBS2012,BWBSdk,BWBSdk/110,1043877,P,1,Sw,1,32,,,,0,
BWBS2012,BWBSdk,BWBSdk/111,1043878,X,1,Acb,901,900,,,,0,
BWBS2012,BWBSdk,BWBSdk/111,1043878,X,3,At,901,,,,,0,
BWBS2012,BWBSdk,BWBSdk/111,1043878,X,3,Bl,53,,,,,0,
BWBS2012,BWBSdk,BWBSdk/111,1043878,X,3,Ep,901,,,,,0,
BWBS2012,BWBSdk,BWBSdk/111,1043878,P,2,Pl,1,,,,,0,
BWBS2012,BWBSdk,BWBSdk/111,1043878,A,3,Sb,,,,,,0,
BWBS2012,BWBSdk,BWBSdk/111,1043878,P,1,Sw,1,32,,,,0,
BWBS2012,BWBSdk,BWBSdk/111,1043878,X,1,Acb,901,,,,,0,
BWBS2012,BWBSdk,BWBSdk/111,1043878,P,2,Sw,1,32,,,,0,
BWBS2012,BWBSmk,BWBSmk/101,1043881,X,1,Acb,901,900,,,,0,
BWBS2012,BWBSmk,BWBSmk/101,1043881,X,3,At,901,,,,,0,
BWBS2012,BWBSmk,BWBSmk/101,1043881,X,3,Ep,901,,,,,0,
BWBS2012,BWBSmk,BWBSmk/101,1043881,P,1,Pl,,,,,,0,
BWBS2012,BWBSmk,BWBSmk/101,1043881,A,3,Sb,,,,,,0,
BWBS2012,BWBSmk,BWBSmk/101,1043881,P,1,Sw,32,,,,,0,
BWBS2012,BWBSmk,BWBSmk/102,1043885,X,3,At,901,,,,,0,
BWBS2012,BWBSmk,BWBSmk/102,1043885,P,1,Pl,,,,,,0,
BWBS2012,BWBSmk,BWBSmk/102,1043885,A,3,Sb,,,,,,0,
BWBS2012,BWBSmk,BWBSmk/102,1043885,A,3,Sw,,,,,,0,
BWBS2012,BWBSmk,BWBSmk/103,1043886,X,3,At,901,,,,,0,
BWBS2012,BWBSmk,BWBSmk/103,1043886,X,3,Ep,901,,,,,0,
BWBS2012,BWBSmk,BWBSmk/103,1043886,P,1,Pl,,,,,,0,
BWBS2012,BWBSmk,BWBSmk/103,1043886,P,1,Sw,32,,,,,0,
BWBS2012,BWBSmk,BWBSmk/104,1043887,X,3,At,901,,,,,0,
BWBS2012,BWBSmk,BWBSmk/104,1043887,A,2,Lt,,,,,,0,
BWBS2012,BWBSmk,BWBSmk/104,1043887,P,1,Pl,,,,,,0,
BWBS2012,BWBSmk,BWBSmk/104,1043887,P,1,Sb,,,,,,0,
BWBS2012,BWBSmk,BWBSmk/104,1043887,P,1,Sw,,,,,,0,
BWBS2012,BWBSmk,BWBSmk/110,1043888,X,3,At,901,,,,,0,
BWBS2012,BWBSmk,BWBSmk/110,1043888,X,3,Ep,901,,,,,0,
BWBS2012,BWBSmk,BWBSmk/110,1043888,P,2,Pl,1,,,,,0,
BWBS2012,BWBSmk,BWBSmk/110,1043888,A,3,Sb,,,,,,0,
BWBS2012,BWBSmk,BWBSmk/110,1043888,P,1,Sw,1,32,,,,0,
BWBS2012,BWBSmk,BWBSmk/110,1043888,X,1,Acb,901,900,,,,0,
BWBS2012,BWBSmk,BWBSmk/111,1043889,X,1,Acb,901,900,,,,0,
BWBS2012,BWBSmk,BWBSmk/111,1043889,X,3,At,901,,,,,0,
BWBS2012,BWBSmk,BWBSmk/111,1043889,X,3,Ep,901,,,,,0,
BWBS2012,BWBSmk,BWBSmk/111,1043889,P,2,Pl,1,,,,,0,
BWBS2012,BWBSmk,BWBSmk/111,1043889,A,3,Sb,,,,,,0,
BWBS2012,BWBSmk,BWBSmk/111,1043889,P,1,Sw,1,32,,,,0,
BWBS2012,BWBSmw,BWBSmw/101,1043891,X,1,Acb,901,900,,,,0,
BWBS2012,BWBSmw,BWBSmw/101,1043891,X,3,At,901,,,,,0,
BWBS2012,BWBSmw,BWBSmw/101,1043891,X,3,Ep,901,,,,,0,
BWBS2012,BWBSmw,BWBSmw/101,1043891,P,1,Pl,,,,,,0,
BWBS2012,BWBSmw,BWBSmw/101,1043891,A,3,Sb,,,,,,0,
BWBS2012,BWBSmw,BWBSmw/101,1043891,P,1,Sw,32,,,,,0,
BWBS2012,BWBSmw,BWBSmw/102,1043895,X,3,At,901,,,,,0,
BWBS2012,BWBSmw,BWBSmw/102,1043895,P,1,Pl,,,,,,0,
BWBS2012,BWBSmw,BWBSmw/102,1043895,A,3,Sw,,,,,,0,
BWBS2012,BWBSmw,BWBSmw/103,1043896,X,3,At,901,,,,,0,
BWBS2012,BWBSmw,BWBSmw/103,1043896,P,1,Pl,,,,,,0,
BWBS2012,BWBSmw,BWBSmw/103,1043896,P,2,Sw,28,,,,,0,
BWBS2012,BWBSmw,BWBSmw/104,1043897,X,3,At,901,,,,,0,
BWBS2012,BWBSmw,BWBSmw/104,1043897,P,1,Pl,,,,,,0,
BWBS2012,BWBSmw,BWBSmw/104,1043897,A,3,Sb,,,,,,0,
BWBS2012,BWBSmw,BWBSmw/104,1043897,A,3,Sw,28,32,,,,0,
BWBS2012,BWBSmw,BWBSmw/110,1043898,X,3,Acb,901,,,,,0,
BWBS2012,BWBSmw,BWBSmw/110,1043898,X,3,At,901,,,,,0,
BWBS2012,BWBSmw,BWBSmw/110,1043898,X,3,Ep,901,,,,,0,
BWBS2012,BWBSmw,BWBSmw/110,1043898,P,2,Pl,,,,,,0,
BWBS2012,BWBSmw,BWBSmw/110,1043898,A,3,Sb,,,,,,0,
BWBS2012,BWBSmw,BWBSmw/110,1043898,P,1,Sw,32,,,,,0,
BWBS2012,BWBSmw,BWBSmw/111,1043899,X,1,Acb,901,900,,,,0,
BWBS2012,BWBSmw,BWBSmw/111,1043899,P,2,Pl,1,,,,,0,
BWBS2012,BWBSmw,BWBSmw/111,1043899,P,1,Sw,1,32,,,,0,
BWBS2012,BWBSmw,BWBSmw/112,1043900,P,1,Ac,900,901,,,,0,
BWBS2012,BWBSmw,BWBSmw/112,1043900,A,2,Sw,1,32,,,,0,
BWBS2012,BWBSwk1,BWBSwk1/101,1043901,X,3,At,901,,,,,0,
BWBS2012,BWBSwk1,BWBSwk1/101,1043901,P,1,Pl,,,,,,0,
BWBS2012,BWBSwk1,BWBSwk1/101,1043901,P,1,Sw,,,,,,0,
BWBS2012,BWBSwk1,BWBSwk1/102,1043902,P,1,Pl,,,,,,0,
BWBS2012,BWBSwk1,BWBSwk1/102,1043902,A,3,Sw,,,,,,0,
BWBS2012,BWBSwk1,BWBSwk1/103,1043903,X,3,At,901,,,,,0,
BWBS2012,BWBSwk1,BWBSwk1/103,1043903,P,1,Pl,,,,,,0,
BWBS2012,BWBSwk1,BWBSwk1/103,1043903,P,2,Sw,28,,,,,0,
BWBS2012,BWBSwk1,BWBSwk1/104,1043904,X,3,At,901,,,,,0,
BWBS2012,BWBSwk1,BWBSwk1/104,1043904,P,1,Pl,,,,,,0,
BWBS2012,BWBSwk1,BWBSwk1/104,1043904,A,3,Sb,,,,,,0,
BWBS2012,BWBSwk1,BWBSwk1/104,1043904,A,3,Sw,32,,,,,0,
BWBS2012,BWBSwk1,BWBSwk1/110,1043905,X,1,Acb,901,900,,,,0,
BWBS2012,BWBSwk1,BWBSwk1/110,1043905,P,2,Pl,1,,,,,0,
BWBS2012,BWBSwk1,BWBSwk1/110,1043905,P,1,Sw,1,32,,,,0,
BWBS2012,BWBSwk1,BWBSwk1/111,1043906,A,2,Lt,,,,,,0,
BWBS2012,BWBSwk1,BWBSwk1/111,1043906,P,1,Pl,,,,,,0,
BWBS2012,BWBSwk1,BWBSwk1/111,1043906,P,1,Sb,,,,,,0,
BWBS2012,BWBSwk1,BWBSwk1/111,1043906,P,1,Sw,,,,,,0,
BWBS2012,BWBSwk2,BWBSwk2/101,1043907,P,1,Pl,,,,,,0,
BWBS2012,BWBSwk2,BWBSwk2/101,1043907,P,1,Sw,,,,,,0,
BWBS2012,BWBSwk2,BWBSwk2/101,1043907CC,A,3,At,901,,,,,0,
BWBS2012,BWBSwk2,BWBSwk2/102,1043908,P,1,Pl,,,,,,0,
BWBS2012,BWBSwk2,BWBSwk2/102,1043908,A,3,Sw,,,,,,0,
BWBS2012,BWBSwk2,BWBSwk2/103,1043909,X,3,At,901,,,,,0,
BWBS2012,BWBSwk2,BWBSwk2/103,1043909,P,1,Pl,,,,,,0,
BWBS2012,BWBSwk2,BWBSwk2/103,1043909,A,3,Sb,,,,,,0,
BWBS2012,BWBSwk2,BWBSwk2/103,1043909,A,3,Sw,32,,,,,0,
BWBS2012,BWBSwk2,BWBSwk2/104,1043910,X,3,At,901,,,,,0,
BWBS2012,BWBSwk2,BWBSwk2/104,1043910,P,1,Pl,,,,,,0,
BWBS2012,BWBSwk2,BWBSwk2/104,1043910,P,2,Sw,28,,,,,0,
BWBS2012,BWBSwk2,BWBSwk2/110,1043911,X,1,Acb,901,900,,,,0,
BWBS2012,BWBSwk2,BWBSwk2/110,1043911,X,3,At,900,,,,,0,
BWBS2012,BWBSwk2,BWBSwk2/110,1043911,X,3,Ep,900,,,,,0,
BWBS2012,BWBSwk2,BWBSwk2/110,1043911,P,2,Pl,,,,,,0,
BWBS2012,BWBSwk2,BWBSwk2/110,1043911,P,1,Sw,32,,,,,0,
BWBS2012,BWBSwk2,BWBSwk2/111,1043912,X,1,Acb,901,900,,,,0,
BWBS2012,BWBSwk2,BWBSwk2/111,1043912,P,2,Pl,1,,,,,0,
BWBS2012,BWBSwk2,BWBSwk2/111,1043912,P,1,Sw,1,32,,,,0,
BWBS2012,BWBSwk3,BWBSwk3/101,1043913,A,2,Bl,,,,,,0,
BWBS2012,BWBSwk3,BWBSwk3/101,1043913,P,1,Pl,,,,,,0,
BWBS2012,BWBSwk3,BWBSwk3/101,1043913,A,2,Sb,,,,,,0,
BWBS2012,BWBSwk3,BWBSwk3/101,1043913,P,1,Sw,,,,,,0,
BWBS2012,BWBSwk3,BWBSwk3/101,1043913CC,X,1,Ac,901,900,,,,0,
BWBS2012,BWBSwk3,BWBSwk3/101,1043913CC,A,3,At,901,,,,,0,
BWBS2012,BWBSwk3,BWBSwk3/101,1043913CC,A,3,Ep,,,,,,0,
BWBS2012,BWBSwk3,BWBSwk3/101,1043913CC,X,2,Sb,,,,,,0,
BWBS2012,BWBSwk3,BWBSwk3/102,1043914,X,3,At,,,,,,0,
BWBS2012,BWBSwk3,BWBSwk3/102,1043914,A,3,Bl,,,,,,0,
BWBS2012,BWBSwk3,BWBSwk3/102,1043914,P,1,Pl,,,,,,0,
BWBS2012,BWBSwk3,BWBSwk3/102,1043914,A,2,Sb,,,,,,0,
BWBS2012,BWBSwk3,BWBSwk3/102,1043914,A,2,Sw,,,,,,0,
BWBS2012,BWBSwk3,BWBSwk3/103,1043915,X,3,At,,,,,,0,
BWBS2012,BWBSwk3,BWBSwk3/103,1043915,A,3,Bl,,,,,,0,
BWBS2012,BWBSwk3,BWBSwk3/103,1043915,P,1,Pl,,,,,,0,
BWBS2012,BWBSwk3,BWBSwk3/103,1043915,P,1,Sb,,,,,,0,
BWBS2012,BWBSwk3,BWBSwk3/103,1043915,A,2,Sw,,,,,,0,
BWBS2012,BWBSwk3,BWBSwk3/110,1043916,X,3,Acb,900,,,,,0,
BWBS2012,BWBSwk3,BWBSwk3/110,1043916,P,1,Bl,,,,,,0,
BWBS2012,BWBSwk3,BWBSwk3/110,1043916,A,2,Lt,,,,,,0,
BWBS2012,BWBSwk3,BWBSwk3/110,1043916,A,3,Pl,,,,,,0,
BWBS2012,BWBSwk3,BWBSwk3/110,1043916,A,2,Sb,,,,,,0,
BWBS2012,BWBSwk3,BWBSwk3/110,1043916,P,1,Sx,,,,,,0,
BWBS2012,BWBSwk3,BWBSwk3/111,1043917,X,3,Acb,900,,,,,0,
BWBS2012,BWBSwk3,BWBSwk3/111,1043917,A,2,Lt,,,,,,0,
BWBS2012,BWBSwk3,BWBSwk3/111,1043917,P,2,Pl,,,,,,0,
BWBS2012,BWBSwk3,BWBSwk3/111,1043917,P,1,Sb,,,,,,0,
Vancouver,CDFmm,CDFmm/01,84000,X,3,Bg,47,7,,,,0,
Vancouver,CDFmm,CDFmm/01,84000,A,3,Cw,,,,,,0,
Vancouver,CDFmm,CDFmm/01,84000,X,3,Dr,901,,,,,0,
Vancouver,CDFmm,CDFmm/01,84000,P,1,Fd,,,,,,0,
Vancouver,CDFmm,CDFmm/01,84000,X,3,Mb,901,,,,,0,
Vancouver,CDFmm,CDFmm/01,84000,P,2,Pl,6,,,,,0,
Vancouver,CDFmm,CDFmm/01,84000,X,3,Qg,901,,,,,0,
Vancouver,CDFmm,CDFmm/01,84000,X,1,Ra,900,,,,,0,
Vancouver,CDFmm,CDFmm/02,84001,P,1,Fd,,,,,,0,
Vancouver,CDFmm,CDFmm/02,84001,P,2,Pl,6,,,,,0,
Vancouver,CDFmm,CDFmm/02,84001,X,3,Qg,900,,,,,0,
Vancouver,CDFmm,CDFmm/02,84001,X,1,Ra,900,,,,,0,
Vancouver,CDFmm,CDFmm/03,84002,P,1,Fd,,,,,,0,
Vancouver,CDFmm,CDFmm/03,84002,P,2,Pl,3,,,,,0,
Vancouver,CDFmm,CDFmm/03,84002,X,3,Qg,900,,,,,0,
Vancouver,CDFmm,CDFmm/03,84002,X,1,Ra,901,,,,,0,
Vancouver,CDFmm,CDFmm/04,84003,X,3,Act,901,,,,,0,
Vancouver,CDFmm,CDFmm/04,84003,A,3,Bg,,,,,,0,
Vancouver,CDFmm,CDFmm/04,84003,A,3,Cw,,,,,,0,
Vancouver,CDFmm,CDFmm/04,84003,X,3,Dr,901,,,,,0,
Vancouver,CDFmm,CDFmm/04,84003,P,1,Fd,,,,,,0,
Vancouver,CDFmm,CDFmm/04,84003,X,3,Mb,900,,,,,0,
Vancouver,CDFmm,CDFmm/04,84003,X,3,Qg,900,,,,,0,
Vancouver,CDFmm,CDFmm/05,84004,X,3,Act,901,,,,,0,
Vancouver,CDFmm,CDFmm/05,84004,A,3,Cw,,,,,,0,
Vancouver,CDFmm,CDFmm/05,84004,X,1,Dr,7,42,900,,,0,
Vancouver,CDFmm,CDFmm/05,84004,P,1,Fd,,,,,,0,
Vancouver,CDFmm,CDFmm/05,84004,X,3,Mb,901,,,,,0,
Vancouver,CDFmm,CDFmm/05,84004,X,3,Qg,901,,,,,0,
Vancouver,CDFmm,CDFmm/05,84004,X,1,Ra,901,,,,,0,
Vancouver,CDFmm,CDFmm/06,84005,X,1,Act,42,900,,,,0,
Vancouver,CDFmm,CDFmm/06,84005,A,1,Bg,47,,,,,0,
Vancouver,CDFmm,CDFmm/06,84005,P,1,Cw,,,,,,0,
Vancouver,CDFmm,CDFmm/06,84005,X,1,Dr,42,900,,,,0,
Vancouver,CDFmm,CDFmm/06,84005,P,1,Fd,,,,,,0,
Vancouver,CDFmm,CDFmm/06,84005,X,3,Mb,900,,,,,0,
Vancouver,CDFmm,CDFmm/06,84005,X,3,Qg,900,,,,,0,
Vancouver,CDFmm,CDFmm/06,84005,X,1,Ra,901,,,,,0,
Vancouver,CDFmm,CDFmm/07,84006,X,1,Act,42,900,,,,0,
Vancouver,CDFmm,CDFmm/07,84006,A,1,Bg,47,,,,,0,
Vancouver,CDFmm,CDFmm/07,84006,P,1,Cw,,,,,,0,
Vancouver,CDFmm,CDFmm/07,84006,X,1,Dr,42,900,,,,0,
Vancouver,CDFmm,CDFmm/07,84006,P,1,Fd,,,,,,0,
Vancouver,CDFmm,CDFmm/07,84006,X,3,Mb,900,,,,,0,
Vancouver,CDFmm,CDFmm/07,84006,X,3,Qg,901,,,,,0,
Vancouver,CDFmm,CDFmm/07,84006,X,1,Ra,901,,,,,0,
Vancouver,CDFmm,CDFmm/08,84007,X,1,Act,42,900,,,,0,
Vancouver,CDFmm,CDFmm/08,84007,A,2,Bg,1,47,,,,0,
Vancouver,CDFmm,CDFmm/08,84007,P,2,Cw,1,,,,,0,
Vancouver,CDFmm,CDFmm/08,84007,X,1,Dr,42,900,,,,0,
Vancouver,CDFmm,CDFmm/08,84007,X,3,Mb,900,,,,,0,
Vancouver,CDFmm,CDFmm/08,84007,X,3,Qg,901,,,,,0,
Vancouver,CDFmm,CDFmm/08,84007,X,1,Ra,901,,,,,0,
Vancouver,CDFmm,CDFmm/09,999,X,3,Act,901,,,,,0,
Vancouver,CDFmm,CDFmm/09,999,X,3,Dr,901,,,,,0,
Vancouver,CDFmm,CDFmm/09,999,X,3,Mb,901,,,,,0,
Vancouver,CDFmm,CDFmm/09,999,X,1,No Conifers,,,,,,0,
Vancouver,CDFmm,CDFmm/10,84008,A,3,Cw,1,,,,,0,
Vancouver,CDFmm,CDFmm/10,84008,P,1,Pl,1,,,,,0,
Vancouver,CDFmm,CDFmm/11,84009,X,3,Act,901,,,,,0,
Vancouver,CDFmm,CDFmm/11,84009,P,1,Cw,1,,,,,0,
Vancouver,CDFmm,CDFmm/11,84009,X,3,Dr,901,,,,,0,
Vancouver,CDFmm,CDFmm/11,84009,X,3,Mb,901,,,,,0,
Vancouver,CDFmm,CDFmm/12,84010,X,3,Act,901,,,,,0,
Vancouver,CDFmm,CDFmm/12,84010,A,1,Bg,1,47,,,,0,
Vancouver,CDFmm,CDFmm/12,84010,P,1,Cw,1,,,,,0,
Vancouver,CDFmm,CDFmm/12,84010,X,3,Dr,901,,,,,0,
Vancouver,CDFmm,CDFmm/12,84010,P,1,Fd,1,,,,,0,
Vancouver,CDFmm,CDFmm/12,84010,X,1,Mb,41,900,,,,0,
Vancouver,CDFmm,CDFmm/13,84011,X,1,Act,41,42,900,,,0,
Vancouver,CDFmm,CDFmm/13,84011,P,1,Bg,1,47,,,,0,
Vancouver,CDFmm,CDFmm/13,84011,P,1,Cw,1,,,,,0,
Vancouver,CDFmm,CDFmm/13,84011,X,1,Dr,41,42,900,,,0,
Vancouver,CDFmm,CDFmm/13,84011,P,2,Fd,1,,,,,0,
Vancouver,CDFmm,CDFmm/13,84011,X,1,Mb,41,900,,,,0,
Vancouver,CDFmm,CDFmm/14,84012,X,3,Act,901,,,,,0,
Vancouver,CDFmm,CDFmm/14,84012,A,2,Bg,1,47,,,,0,
Vancouver,CDFmm,CDFmm/14,84012,P,1,Cw,1,,,,,0,
Vancouver,CDFmm,CDFmm/14,84012,X,3,Dr,901,,,,,0,
Vancouver,CDFmm,CDFmm/14,84012,X,3,Mb,901,,,,,0,
Vancouver,CWHdm,CWHdm/01,84013,X,3,Act,901,,,,,0,
Vancouver,CWHdm,CWHdm/01,84013,P,3,Cw,,,,,,0,
Vancouver,CWHdm,CWHdm/01,84013,X,1,Dr,7,42,900,,,0,
Vancouver,CWHdm,CWHdm/01,84013,X,1,Ep,18,900,,,,0,
Vancouver,CWHdm,CWHdm/01,84013,P,1,Fd,,,,,,0,
Vancouver,CWHdm,CWHdm/01,84013,P,2,Hw,24,,,,,0,
Vancouver,CWHdm,CWHdm/01,84013,X,3,Mb,901,,,,,0,
Vancouver,CWHdm,CWHdm/01,84013,A,3,Pw,31,,,,,0,
Vancouver,CWHdm,CWHdm/01,84013,X,1,Ra,901,,,,,0,
Vancouver,CWHdm,CWHdm/02,84014,P,2,Fd,,,,,,0,
Vancouver,CWHdm,CWHdm/02,84014,X,3,Mb,901,,,,,0,
Vancouver,CWHdm,CWHdm/02,84014,P,1,Pl,,,,,,0,
Vancouver,CWHdm,CWHdm/02,84014,X,3,Qg,901,,,,,0,
Vancouver,CWHdm,CWHdm/02,84014,X,1,Ra,900,,,,,0,
Vancouver,CWHdm,CWHdm/03,84015,X,3,Act,901,,,,,0,
Vancouver,CWHdm,CWHdm/03,84015,A,3,Cw,,,,,,0,
Vancouver,CWHdm,CWHdm/03,84015,X,3,Dr,901,,,,,0,
Vancouver,CWHdm,CWHdm/03,84015,X,3,Ep,901,,,,,0,
Vancouver,CWHdm,CWHdm/03,84015,P,1,Fd,,,,,,0,
Vancouver,CWHdm,CWHdm/03,84015,A,3,Hw,,,,,,0,
Vancouver,CWHdm,CWHdm/03,84015,X,3,Mb,901,,,,,0,
Vancouver,CWHdm,CWHdm/03,84015,X,1,Ra,900,,,,,0,
Vancouver,CWHdm,CWHdm/04,84016,X,3,Act,901,,,,,0,
Vancouver,CWHdm,CWHdm/04,84016,A,3,Cw,,,,,,0,
Vancouver,CWHdm,CWHdm/04,84016,X,3,Dr,901,,,,,0,
Vancouver,CWHdm,CWHdm/04,84016,X,3,Ep,901,,,,,0,
Vancouver,CWHdm,CWHdm/04,84016,P,1,Fd,,,,,,0,
Vancouver,CWHdm,CWHdm/04,84016,X,3,Mb,900,,,,,0,
Vancouver,CWHdm,CWHdm/04,84016,A,3,Pw,31,,,,,0,
Vancouver,CWHdm,CWHdm/04,84016,X,3,Qg,901,,,,,0,
Vancouver,CWHdm,CWHdm/04,84016,X,1,Ra,901,,,,,0,
Vancouver,CWHdm,CWHdm/05,84017,X,1,Act,42,900,,,,0,
Vancouver,CWHdm,CWHdm/05,84017,P,1,Cw,,,,,,0,
Vancouver,CWHdm,CWHdm/05,84017,X,1,Dr,42,900,,,,0,
Vancouver,CWHdm,CWHdm/05,84017,X,1,Ep,18,900,,,,0,
Vancouver,CWHdm,CWHdm/05,84017,P,1,Fd,,,,,,0,
Vancouver,CWHdm,CWHdm/05,84017,A,3,Hw,,,,,,0,
Vancouver,CWHdm,CWHdm/05,84017,X,3,Mb,901,,,,,0,
Vancouver,CWHdm,CWHdm/05,84017,A,3,Pw,31,,,,,0,
Vancouver,CWHdm,CWHdm/06,84018,X,3,Act,901,,,,,0,
Vancouver,CWHdm,CWHdm/06,84018,P,1,Cw,,,,,,0,
Vancouver,CWHdm,CWHdm/06,84018,X,1,Dr,7,41,900,,,0,
Vancouver,CWHdm,CWHdm/06,84018,X,1,Ep,18,900,,,,0,
Vancouver,CWHdm,CWHdm/06,84018,A,3,Fd,1,,,,,0,
Vancouver,CWHdm,CWHdm/06,84018,P,1,Hw,,,,,,0,
Vancouver,CWHdm,CWHdm/06,84018,X,3,Mb,901,,,,,0,
Vancouver,CWHdm,CWHdm/07,84019,X,1,Act,41,900,,,,0,
Vancouver,CWHdm,CWHdm/07,84019,A,1,Bg,47,,,,,0,
Vancouver,CWHdm,CWHdm/07,84019,P,1,Cw,,,,,,0,
Vancouver,CWHdm,CWHdm/07,84019,X,1,Dr,41,900,,,,0,
Vancouver,CWHdm,CWHdm/07,84019,X,1,Ep,18,900,,,,0,
Vancouver,CWHdm,CWHdm/07,84019,P,1,Fd,,,,,,0,
Vancouver,CWHdm,CWHdm/07,84019,A,3,Hw,,,,,,0,
Vancouver,CWHdm,CWHdm/07,84019,X,1,Mb,41,900,,,,0,
Vancouver,CWHdm,CWHdm/08,84020,X,3,Act,41,901,,,,0,
Vancouver,CWHdm,CWHdm/08,84020,P,1,Bg,47,,,,,0,
Vancouver,CWHdm,CWHdm/08,84020,P,1,Cw,,,,,,0,
